longitud_mm,anchura_mm,radio_morro,conicidad,angulo_aleron,altura_mm,cd,area_m2,cda_m2,estabilidad,fabricabilidad,score
245,55,0.5,0.9,0,25,0.2416,0.001375,0.000332,0.608,0.62,0.35423
245,55,0.2,0.9,-1,25,0.2346,0.001375,0.000323,0.585,0.62,0.35429
265,55,0.25,0.7,1,25,0.2461,0.001375,0.000338,0.632,0.6,0.35493
265,55,0.25,0.9,1,25,0.2341,0.001375,0.000322,0.64,0.52,0.35503
225,55,0.2,0.7,1,25,0.251,0.001375,0.000345,0.588,0.7,0.35507
245,55,0.25,0.6,1,25,0.2566,0.001375,0.000353,0.606,0.7,0.3551
225,55,0.2,0.9,1,25,0.239,0.001375,0.000329,0.596,0.62,0.35517
245,55,0.25,0.8,1,25,0.2446,0.001375,0.000336,0.614,0.62,0.3552
265,55,0.25,0.5,0,25,0.2411,0.001375,0.000332,0.614,0.6,0.35531
225,55,0.2,0.5,0,25,0.246,0.001375,0.000338,0.57,0.7,0.35545
245,55,0.25,0.4,0,25,0.2516,0.001375,0.000346,0.588,0.7,0.35548
245,55,0.35,0.7,1,25,0.2586,0.001375,0.000356,0.61,0.7,0.35575
245,55,0.35,0.9,1,25,0.2466,0.001375,0.000339,0.618,0.62,0.35585
265,55,0.35,0.6,0,25,0.2431,0.001375,0.000334,0.618,0.6,0.35596
265,55,0.35,0.8,0,25,0.2311,0.001375,0.000318,0.626,0.52,0.35606
205,55,0.25,0.7,0,25,0.2424,0.001375,0.000333,0.556,0.7,0.35607
225,55,0.3,0.6,0,25,0.248,0.001375,0.000341,0.574,0.7,0.3561
245,55,0.35,0.5,0,25,0.2536,0.001375,0.000349,0.592,0.7,0.35613
205,55,0.25,0.9,0,25,0.2304,0.001375,0.000317,0.564,0.62,0.35617
225,55,0.3,0.8,0,25,0.236,0.001375,0.000324,0.582,0.62,0.3562
265,55,0.45,0.7,0,25,0.2451,0.001375,0.000337,0.622,0.6,0.35661
265,55,0.45,0.9,0,25,0.2331,0.001375,0.000321,0.63,0.52,0.35671
225,55,0.4,0.7,0,25,0.25,0.001375,0.000344,0.578,0.7,0.35675
245,55,0.45,0.6,0,25,0.2556,0.001375,0.000351,0.596,0.7,0.35678
225,55,0.4,0.9,0,25,0.238,0.001375,0.000327,0.586,0.62,0.35685
245,55,0.45,0.8,0,25,0.2436,0.001375,0.000335,0.604,0.62,0.35688
245,55,0.25,0.7,-1,25,0.2506,0.001375,0.000345,0.577,0.7,0.35749
265,55,0.2,0.6,1,25,0.2481,0.001375,0.000341,0.628,0.6,0.35758
245,55,0.25,0.9,-1,25,0.2386,0.001375,0.000328,0.585,0.62,0.35759
265,55,0.2,0.8,1,25,0.2361,0.001375,0.000325,0.636,0.52,0.35768
245,55,0.2,0.5,1,25,0.2586,0.001375,0.000356,0.602,0.7,0.35775
265,55,0.2,0.4,0,25,0.2431,0.001375,0.000334,0.61,0.6,0.35796
245,55,0.2,0.3,0,25,0.2536,0.001375,0.000349,0.584,0.7,0.35813
265,55,0.3,0.7,1,25,0.2501,0.001375,0.000344,0.632,0.6,0.35823
265,55,0.3,0.9,1,25,0.2381,0.001375,0.000327,0.64,0.52,0.35833
225,55,0.25,0.7,1,25,0.255,0.001375,0.000351,0.588,0.7,0.35837
245,55,0.3,0.6,1,25,0.2606,0.001375,0.000358,0.606,0.7,0.3584
225,55,0.25,0.9,1,25,0.243,0.001375,0.000334,0.596,0.62,0.35847
245,55,0.3,0.8,1,25,0.2486,0.001375,0.000342,0.614,0.62,0.3585
265,55,0.3,0.5,0,25,0.2451,0.001375,0.000337,0.614,0.6,0.35861
205,55,0.2,0.6,0,25,0.2444,0.001375,0.000336,0.552,0.7,0.35872
225,55,0.25,0.5,0,25,0.25,0.001375,0.000344,0.57,0.7,0.35875
245,55,0.3,0.4,0,25,0.2556,0.001375,0.000351,0.588,0.7,0.35878
205,55,0.2,0.8,0,25,0.2324,0.001375,0.00032,0.56,0.62,0.35882
245,55,0.4,0.7,1,25,0.2626,0.001375,0.000361,0.61,0.7,0.35905
245,55,0.4,0.9,1,25,0.2506,0.001375,0.000345,0.618,0.62,0.35915
265,55,0.4,0.6,0,25,0.2471,0.001375,0.00034,0.618,0.6,0.35926
265,55,0.15,0.7,0,25,0.2211,0.001375,0.000304,0.622,0.45,0.35931
265,55,0.4,0.8,0,25,0.2351,0.001375,0.000323,0.626,0.52,0.35936
205,55,0.3,0.7,0,25,0.2464,0.001375,0.000339,0.556,0.7,0.35937
225,55,0.35,0.6,0,25,0.252,0.001375,0.000346,0.574,0.7,0.3594
265,55,0.15,0.9,0,25,0.2091,0.001375,0.000288,0.63,0.37,0.35941
245,55,0.4,0.5,0,25,0.2576,0.001375,0.000354,0.592,0.7,0.35943
205,55,0.3,0.9,0,25,0.2344,0.001375,0.000322,0.564,0.62,0.35947
245,55,0.15,0.6,0,25,0.2316,0.001375,0.000318,0.596,0.55,0.35948
225,55,0.35,0.8,0,25,0.24,0.001375,0.00033,0.582,0.62,0.3595
245,55,0.15,0.8,0,25,0.2196,0.001375,0.000302,0.604,0.47,0.35958
265,55,0.5,0.7,0,25,0.2491,0.001375,0.000343,0.622,0.6,0.35991
265,55,0.2,0.7,-1,25,0.2421,0.001375,0.000333,0.599,0.6,0.35996
265,55,0.5,0.9,0,25,0.2371,0.001375,0.000326,0.63,0.52,0.36001
225,55,0.45,0.7,0,25,0.254,0.001375,0.000349,0.578,0.7,0.36005
265,55,0.2,0.9,-1,25,0.2301,0.001375,0.000316,0.607,0.52,0.36006
245,55,0.5,0.6,0,25,0.2596,0.001375,0.000357,0.596,0.7,0.36008
245,55,0.2,0.6,-1,25,0.2526,0.001375,0.000347,0.573,0.7,0.36014
225,55,0.45,0.9,0,25,0.242,0.001375,0.000333,0.586,0.62,0.36015
245,55,0.5,0.8,0,25,0.2476,0.001375,0.00034,0.604,0.62,0.36018
245,55,0.2,0.8,-1,25,0.2406,0.001375,0.000331,0.581,0.62,0.36024
245,65,0.2,0.9,0,25,0.2176,0.001625,0.000354,0.635,0.62,0.36039
245,55,0.2,0.7,2,25,0.2676,0.001375,0.000368,0.62,0.7,0.36068
245,55,0.2,0.9,2,25,0.2556,0.001375,0.000351,0.628,0.62,0.36078
245,55,0.3,0.7,-1,25,0.2546,0.001375,0.00035,0.577,0.7,0.36079
265,55,0.25,0.6,1,25,0.2521,0.001375,0.000347,0.628,0.6,0.36088
245,55,0.3,0.9,-1,25,0.2426,0.001375,0.000334,0.585,0.62,0.36089
265,55,0.25,0.8,1,25,0.2401,0.001375,0.00033,0.636,0.52,0.36098
225,55,0.2,0.6,1,25,0.257,0.001375,0.000353,0.584,0.7,0.36102
245,55,0.25,0.5,1,25,0.2626,0.001375,0.000361,0.602,0.7,0.36105
225,55,0.2,0.8,1,25,0.245,0.001375,0.000337,0.592,0.62,0.36112
265,55,0.25,0.4,0,25,0.2471,0.001375,0.00034,0.61,0.6,0.36126
225,55,0.2,0.4,0,25,0.252,0.001375,0.000346,0.566,0.7,0.3614
245,55,0.25,0.3,0,25,0.2576,0.001375,0.000354,0.584,0.7,0.36143
265,55,0.35,0.7,1,25,0.2541,0.001375,0.000349,0.632,0.6,0.36153
265,55,0.35,0.9,1,25,0.2421,0.001375,0.000333,0.64,0.52,0.36163
225,55,0.3,0.7,1,25,0.259,0.001375,0.000356,0.588,0.7,0.36167
245,55,0.35,0.6,1,25,0.2646,0.001375,0.000364,0.606,0.7,0.3617
225,55,0.3,0.9,1,25,0.247,0.001375,0.00034,0.596,0.62,0.36177
245,55,0.35,0.8,1,25,0.2526,0.001375,0.000347,0.614,0.62,0.3618
265,55,0.35,0.5,0,25,0.2491,0.001375,0.000343,0.614,0.6,0.36191
205,55,0.25,0.6,0,25,0.2484,0.001375,0.000342,0.552,0.7,0.36202
225,55,0.3,0.5,0,25,0.254,0.001375,0.000349,0.57,0.7,0.36205
245,55,0.35,0.4,0,25,0.2596,0.001375,0.000357,0.588,0.7,0.36208
245,65,0.2,0.7,0,25,0.2296,0.001625,0.000373,0.627,0.7,0.36209
205,55,0.25,0.8,0,25,0.2364,0.001375,0.000325,0.56,0.62,0.36212
245,55,0.45,0.7,1,25,0.2666,0.001375,0.000367,0.61,0.7,0.36235
245,55,0.45,0.9,1,25,0.2546,0.001375,0.00035,0.618,0.62,0.36245
265,55,0.45,0.6,0,25,0.2511,0.001375,0.000345,0.618,0.6,0.36256
265,55,0.45,0.8,0,25,0.2391,0.001375,0.000329,0.626,0.52,0.36266
205,55,0.35,0.7,0,25,0.2504,0.001375,0.000344,0.556,0.7,0.36267
225,55,0.4,0.6,0,25,0.256,0.001375,0.000352,0.574,0.7,0.3627
245,55,0.45,0.5,0,25,0.2616,0.001375,0.00036,0.592,0.7,0.36273
225,55,0.15,0.7,0,25,0.23,0.001375,0.000316,0.578,0.55,0.36275
205,55,0.35,0.9,0,25,0.2384,0.001375,0.000328,0.564,0.62,0.36277
225,55,0.4,0.8,0,25,0.244,0.001375,0.000335,0.582,0.62,0.3628
225,55,0.15,0.9,0,25,0.218,0.001375,0.0003,0.586,0.47,0.36285
265,55,0.25,0.7,-1,25,0.2461,0.001375,0.000338,0.599,0.6,0.36326
225,55,0.5,0.7,0,25,0.258,0.001375,0.000355,0.578,0.7,0.36335
265,55,0.25,0.9,-1,25,0.2341,0.001375,0.000322,0.607,0.52,0.36336
225,55,0.2,0.7,-1,25,0.251,0.001375,0.000345,0.555,0.7,0.36341
245,55,0.25,0.6,-1,25,0.2566,0.001375,0.000353,0.573,0.7,0.36344
225,55,0.5,0.9,0,25,0.246,0.001375,0.000338,0.586,0.62,0.36345
225,55,0.2,0.9,-1,25,0.239,0.001375,0.000329,0.563,0.62,0.36351
265,55,0.2,0.5,1,25,0.2541,0.001375,0.000349,0.624,0.6,0.36353
245,55,0.25,0.8,-1,25,0.2446,0.001375,0.000336,0.581,0.62,0.36354
245,55,0.2,0.4,1,25,0.2646,0.001375,0.000364,0.598,0.7,0.3637
265,55,0.2,0.3,0,25,0.2491,0.001375,0.000343,0.606,0.6,0.36391
245,55,0.25,0.7,2,25,0.2716,0.001375,0.000373,0.62,0.7,0.36398
245,55,0.25,0.9,2,25,0.2596,0.001375,0.000357,0.628,0.62,0.36408
245,55,0.35,0.7,-1,25,0.2586,0.001375,0.000356,0.577,0.7,0.36409
265,55,0.3,0.6,1,25,0.2561,0.001375,0.000352,0.628,0.6,0.36418
245,55,0.35,0.9,-1,25,0.2466,0.001375,0.000339,0.585,0.62,0.36419
265,55,0.3,0.8,1,25,0.2441,0.001375,0.000336,0.636,0.52,0.36428
245,65,0.25,0.9,0,25,0.2216,0.001625,0.00036,0.635,0.62,0.36429
205,55,0.2,0.7,1,25,0.2554,0.001375,0.000351,0.566,0.7,0.3643
225,55,0.25,0.6,1,25,0.261,0.001375,0.000359,0.584,0.7,0.36432
245,55,0.3,0.5,1,25,0.2666,0.001375,0.000367,0.602,0.7,0.36435
205,55,0.2,0.9,1,25,0.2434,0.001375,0.000335,0.574,0.62,0.3644
225,55,0.25,0.8,1,25,0.249,0.001375,0.000342,0.592,0.62,0.36442
265,55,0.3,0.4,0,25,0.2511,0.001375,0.000345,0.61,0.6,0.36456
