seed,finish_time_s,mass_kg,cda_m2,crr,thrust0_n,success
2026,0.5640000000000004,0.05290050729381801,0.001519960538883792,0.012660702856094353,17.78807622025944,1
2039,0.5950000000000004,0.053511084423060996,0.0014121524037112839,0.011758401350511335,17.233424833771462,1
2052,0.5440000000000004,0.05288083641915068,0.0014245411051529663,0.015266054255455876,19.027794521020034,1
2065,0.5390000000000004,0.051442577501530036,0.0014027164039471115,0.01845073765751182,18.885783499060413,1
2078,0.5410000000000004,0.052657875934006115,0.0014392538749357139,0.014015373089011737,18.292640475666992,1
2091,0.5440000000000004,0.05187868747309879,0.001485664850546411,0.020211577146733203,18.723597303049736,1
2104,0.5810000000000004,0.052286320353466975,0.0015037784893068727,0.017954804627277828,15.930174590094627,1
2117,0.5830000000000004,0.052406066795970194,0.0015382768135509294,0.020542132994882303,17.974275140202572,1
2130,0.5710000000000004,0.05213041392959254,0.0015220739316574084,0.020853595820821948,18.081819260868944,1
2143,0.6080000000000004,0.05191861125662814,0.001449282492941551,0.016415167967044526,16.260590142277543,1
2156,0.5020000000000003,0.051282534871965046,0.0013786765045895241,0.019126335936138453,20.270924619544346,1
2169,0.6090000000000004,0.05120394361295496,0.0015693116743983498,0.018210789294510546,18.20739329409627,1
2182,0.5460000000000004,0.05172873996599027,0.0015885069178061025,0.017167745040161747,18.149572817995512,1
2195,0.5360000000000004,0.05175775538320067,0.0014124105149108009,0.018866127514540594,18.656379810794,1
2208,0.5650000000000004,0.0537146783002154,0.0015863305902562971,0.020957613913608175,18.16300392499649,1
2221,0.6170000000000004,0.051980670729254025,0.0013482099483537787,0.019843357376175066,15.32025537005559,1
2234,0.5660000000000004,0.052501396231665186,0.0012745424571847207,0.02061860939829357,18.985499355219687,1
2247,0.6200000000000004,0.05189051716699898,0.0014426304372580044,0.01644025335708383,15.648980279384261,1
2260,0.5950000000000004,0.05184666841646914,0.001647907062619232,0.015446931054121657,15.223511385672273,1
2273,0.5990000000000004,0.05366907660961449,0.001444559586443295,0.017009728710294873,16.48226652977239,1
2286,0.5610000000000004,0.05157461263825815,0.001482353924611189,0.020401227621485614,17.87644826692145,1
2299,0.4840000000000004,0.05237269815960204,0.001493449241773473,0.018218006064806915,23.007134786211363,1
2312,0.5920000000000004,0.05158748935185405,0.0011998207463149806,0.019173769439229795,16.501145478937612,1
2325,0.5530000000000004,0.05095832680126655,0.0014393787259618523,0.021314410273922134,17.5884557644729,1
