simulacion,tiempo_s,velocidad_max_mps,velocidad_max_kmh,masa_kg,cda_m2,crr,empuje_n,exito
3144,1.0555,21.86,78.7,0.05051,0.003265,0.0242,10.06,1
3157,1.165,19.74,71.1,0.05071,0.003041,0.01991,9.35,1
3170,0.9935,23.34,84.0,0.05124,0.003317,0.01526,11.89,1
3183,1.1745,19.58,70.5,0.05167,0.00303,0.02355,10.09,1
3196,0.962,23.95,86.2,0.05427,0.003121,0.0183,11.18,1
3209,1.0205,22.64,81.5,0.05253,0.003386,0.0171,10.53,1
3222,0.886,26.25,94.5,0.0513,0.003352,0.01845,11.43,1
3235,0.863,27.01,97.2,0.05185,0.002795,0.02017,10.94,1
3248,1.1455,20.06,72.2,0.05017,0.003438,0.02059,10.14,1
3261,1.247,18.56,66.8,0.05011,0.003348,0.02258,8.84,1
3274,1.1815,19.56,70.4,0.05184,0.003683,0.02127,11.03,1
3287,1.038,22.13,79.7,0.05072,0.002594,0.01825,9.62,1
3300,1.1275,20.54,73.9,0.05034,0.003269,0.02191,9.97,1
3313,1.2315,18.89,68.0,0.04993,0.003099,0.01825,9.76,1
3326,1.101,21.07,75.9,0.05198,0.003288,0.01718,11.12,1
3339,0.9675,23.88,86.0,0.05144,0.003252,0.02374,10.35,1
3352,1.078,21.41,77.1,0.05104,0.003039,0.01221,9.8,1
3365,0.9555,24.15,86.9,0.05131,0.0035,0.02194,10.76,1
3378,1.097,20.92,75.3,0.05209,0.002686,0.01953,9.4,1
3391,1.0935,21.05,75.8,0.05038,0.003375,0.01297,10.21,1
3404,1.3235,17.62,63.4,0.05246,0.003188,0.02001,7.81,1
3417,1.094,21.08,75.9,0.05435,0.003058,0.01887,9.7,1
3430,1.2205,19.05,68.6,0.0531,0.003386,0.02216,10.72,1
3443,1.065,21.56,77.6,0.05017,0.002916,0.0221,9.7,1
3456,1.0225,22.26,80.1,0.05251,0.002764,0.01556,11.35,1
3469,0.925,24.73,89.0,0.05244,0.002886,0.02052,11.99,1
3482,1.282,18.15,65.3,0.05134,0.003561,0.01991,8.57,1
3495,1.1435,20.26,72.9,0.05144,0.003317,0.01963,10.75,1
3508,1.1285,20.55,74.0,0.05416,0.002913,0.01789,10.59,1
3521,0.938,24.75,89.1,0.04855,0.003381,0.01905,9.92,1
3534,1.096,21.33,76.8,0.05117,0.003371,0.01874,9.28,1
3547,1.086,21.25,76.5,0.05264,0.003633,0.02103,11.08,1
3560,0.942,24.64,88.7,0.05085,0.003312,0.01607,10.83,1
3573,1.189,19.64,70.7,0.05075,0.003284,0.02103,8.57,1
3586,1.289,17.92,64.5,0.05431,0.003063,0.01505,8.97,1
3599,1.3535,16.88,60.8,0.0523,0.003009,0.01901,10.05,1
3612,1.1485,19.86,71.5,0.05281,0.002875,0.02476,10.26,1
3625,1.154,20.21,72.8,0.05283,0.003689,0.02295,10.0,1
3638,1.071,21.73,78.2,0.05138,0.002885,0.01884,8.33,1
