tiempo_s,fiabilidad
0.0,1.0
2.829058701312806,1.0
5.658117402625612,0.9998
8.487176103938417,0.9995
11.316234805251224,0.9989
14.14529350656403,0.998
16.974352207876834,0.9966
19.80341090918964,0.9948
22.632469610502447,0.9924
25.46152831181525,0.9895
28.29058701312806,0.9859
31.119645714440864,0.9816
33.94870441575367,0.9766
36.77776311706648,0.9708
39.60682181837928,0.9642
42.435880519692084,0.9567
45.264939221004894,0.9484
48.093997922317705,0.9391
50.9230566236305,0.9289
53.75211532494331,0.9178
56.58117402625612,0.9057
59.41023272756892,0.8926
62.23929142888173,0.8786
65.06835013019455,0.8637
67.89740883150733,0.8478
70.72646753282015,0.831
73.55552623413296,0.8133
76.38458493544576,0.7948
79.21364363675856,0.7754
82.04270233807138,0.7553
84.87176103938417,0.7345
87.70081974069699,0.713
90.52987844200979,0.6909
93.3589371433226,0.6683
96.18799584463541,0.6452
99.01705454594821,0.6217
101.846113247261,0.5979
104.67517194857382,0.5739
107.50423064988662,0.5497
110.33328935119944,0.5254
113.16234805251224,0.5011
115.99140675382505,0.4769
118.82046545513784,0.4529
121.64952415645065,0.4291
124.47858285776346,0.4056
127.30764155907627,0.3825
130.1367002603891,0.3598
132.96575896170188,0.3377
135.79481766301467,0.3161
138.6238763643275,0.2952
141.4529350656403,0.275
144.2819937669531,0.2554
147.1110524682659,0.2367
149.94011116957873,0.2187
152.76916987089152,0.2015
155.59822857220433,0.1852
158.42728727351712,0.1697
161.25634597482994,0.1551
164.08540467614276,0.1413
166.91446337745555,0.1284
169.74352207876834,0.1163
172.57258078008115,0.105
175.40163948139397,0.0945
178.23069818270676,0.0848
181.05975688401958,0.0759
183.8888155853324,0.0677
186.7178742866452,0.0602
189.546932987958,0.0533
192.37599168927082,0.0471
195.20505039058364,0.0415
198.03410909189643,0.0364
200.86316779320921,0.0318
203.692226494522,0.0277
206.52128519583482,0.0241
209.35034389714764,0.0208
212.17940259846046,0.0179
215.00846129977324,0.0154
217.83752000108606,0.0132
220.66657870239888,0.0112
223.49563740371167,0.0096
226.3246961050245,0.0081
229.1537548063373,0.0068
231.9828135076501,0.0057
234.8118722089629,0.0048
237.64093091027567,0.004
240.4699896115885,0.0033
243.2990483129013,0.0027
246.12810701421412,0.0023
248.9571657155269,0.0019
251.78622441683973,0.0015
254.61528311815255,0.0012
257.44434181946536,0.001
260.2734005207782,0.0008
263.10245922209094,0.0006
265.93151792340376,0.0005
268.7605766247166,0.0004
271.58963532602934,0.0003
274.41869402734216,0.0003
277.247752728655,0.0002
280.0768114299678,0.0002
