time_s,reliability
0.0,1.0
2.829058701312806,0.9999775677463629
5.658117402625612,0.9998435943329107
8.487176103938417,0.9995129841219662
11.316234805251224,0.9989099201620665
14.14529350656403,0.9979640383625874
16.974352207876834,0.9966090593188077
19.80341090918964,0.9947821720203339
22.632469610502447,0.9924237653149353
25.46152831181525,0.9894773537887285
28.29058701312806,0.9858896253707444
31.119645714440864,0.9816105706252553
33.94870441575367,0.9765936689159808
36.77776311706648,0.9707961144220422
39.60682181837928,0.9641790692496667
42.435880519692084,0.9567079333291946
45.264939221004894,0.9483526222429159
48.093997922317705,0.9390878450292107
50.9230566236305,0.9288933745947533
53.75211532494331,0.9177543037827471
56.58117402625612,0.90566128048088
59.41023272756892,0.8926107154663697
62.23929142888173,0.8786049570164954
65.06835013019455,0.8636524266884521
67.89740883150733,0.8477677111106878
70.72646753282015,0.830971605141185
73.55552623413296,0.8132911023433295
76.38458493544576,0.7947593294095906
79.21364363675856,0.7754154219258095
82.04270233807138,0.7553043397093621
84.87176103938417,0.7344766208644314
87.70081974069699,0.7129880746654691
90.52987844200979,0.690899414391243
93.3589371433226,0.6682758322696044
96.18799584463541,0.6451865197381486
99.01705454594821,0.6217041372573344
101.846113247261,0.5979042389083271
104.67517194857382,0.5738646579450487
107.50423064988662,0.5496648603259859
110.33328935119944,0.5253852740040905
113.16234805251224,0.5011066023819457
115.99140675382505,0.4769091308255109
118.82046545513784,0.45287203545722104
121.64952415645065,0.4290727036052375
124.47858285776346,0.4055860752613345
127.30764155907627,0.3824840146905659
130.1367002603891,0.35983472094144947
132.96575896170188,0.3377021854305458
135.79481766301467,0.3161457040295496
138.6238763643275,0.29521945018046236
141.4529350656403,0.2749721145237131
144.2819937669531,0.2554466153677856
147.1110524682659,0.23667988308301893
149.94011116957873,0.21870272019548248
152.76916987089152,0.20153973761977959
155.59822857220433,0.18520936613399772
158.42728727351712,0.16972394089744583
161.25634597482994,0.15508985557317137
164.08540467614276,0.14130778147151596
166.91446337745555,0.12837294610443203
169.74352207876834,0.11627546465576012
172.57258078008115,0.1050007171487128
175.40163948139397,0.09452976354234396
178.23069818270676,0.08483978862254102
181.05975688401958,0.07590456837359977
183.8888155853324,0.06769494952188768
186.7178742866452,0.060179334126590406
189.546932987958,0.05332416144237151
192.37599168927082,0.047094379779025634
195.20505039058364,0.041453901714337424
198.03410909189643,0.03636603675594798
200.86316779320921,0.031793896371676324
203.692226494522,0.027700767189824355
206.52128519583482,0.024050449085656414
209.35034389714764,0.020807555792157418
212.17940259846046,0.017937776578373057
215.00846129977324,0.015408098405193402
217.83752000108606,0.013186988777049394
220.66657870239888,0.011244540242439167
223.49563740371167,0.009552578143654577
226.3246961050245,0.008084733767291729
229.1537548063373,0.006816485496436403
231.9828135076501,0.005725170910657192
234.8118722089629,0.00478997302221792
237.64093091027567,0.003991883980288103
240.4699896115885,0.0033136496259754695
243.2990483129013,0.0027396982483955303
246.12810701421412,0.0022560567859777254
248.9571657155269,0.0018502575491094017
251.78622441683973,0.0015112383219401922
254.61528311815255,0.0012292384447275765
257.44434181946536,0.0009956931952135018
260.2734005207782,0.0008031284892327794
263.10245922209094,0.0006450576171594756
265.93151792340376,0.0005158814328143677
268.7605766247166,0.00041079312267165474
271.58963532602934,0.0003256884117960161
274.41869402734216,0.00025708181366629074
277.247752728655,0.00020202930726853933
280.0768114299678,0.000158057628640495
