wheelbase_mm,front_track_mm,rear_track_mm,guide_clearance_mm,axle_parallelism_mm,centerline_offset_mm,body_mass_g,wheel_radius_mm,track_delta_mm,wheel_diameter_mismatch_mm,pass,violations
189.6584889106097,31.49972512438808,31.871253992786244,0.4986276923343189,0.06309901923693742,0.06662875336360458,51.35868234373101,13.440504757386782,0.37152886839816546,0.11899048522643696,1.0,0.0
190.05911260559404,31.566747165524532,31.771597653002274,0.4494445096251323,0.15417262106775903,0.14622660472180155,51.0376489162745,13.44866895941227,0.20485048747774215,0.10266208117545972,1.0,0.0
189.85492129513267,31.63295619347256,31.810768587280275,0.5143585767987715,0.13653792703470258,0.11731459912568244,51.49462842659819,13.478823398953068,0.17781239380771652,0.04235320209386373,1.0,0.0
189.90272695247165,31.488760452199276,31.759163838230155,0.5512098468716391,0.0888393389111368,0.04173221737470651,50.965138600948755,13.580272872981935,0.2704033860308783,0.16054574596386928,1.0,0.0
190.13657080315318,31.366366389506716,31.817411940158777,0.42651448462173613,0.13932861249298648,0.07982994165829217,52.405097394716186,13.54325765930983,0.4510455506520614,0.08651531861966077,1.0,0.0
189.87782044339986,31.442678822276886,31.71876287724257,0.42856631905480347,0.1022072409111984,0.12273844191859075,51.73468141128807,13.557313385585486,0.27608405496568267,0.11462677117097186,1.0,0.0
189.84259060035592,31.577262491093364,31.813825436026768,0.3895078689245628,0.08284828272635195,0.1078047818952503,51.14688492555186,13.458810776215957,0.23656294493340368,0.08237844756808599,1.0,0.0
190.31967594755486,31.52192152596546,31.789974865976767,0.5035443690739535,0.038120505487697735,0.002198412314368902,51.32468250640497,13.534921063784793,0.2680533400113063,0.06984212756958641,1.0,0.0
189.90994470555248,31.664256205967853,31.84270468106138,0.31295889172650543,0.1705397856958235,0.13744670814609516,51.47860542553246,13.45709555421821,0.17844847509352846,0.0858088915635804,1.0,0.0
190.14310381747075,31.634434086207854,31.75311135898026,0.34006975162664993,0.044277104929319945,0.13938119360118226,50.73595264218736,13.433181156922004,0.11867727277240547,0.1336376861559927,1.0,0.0
