seed,finish_time_s,success,mass_kg,cda_m2,crr,thrust_f0_n,launch_loss_ratio,yaw_deg
3301,0.564900,1,0.052153,0.00150956,0.014330,18.2606,0.04093,-0.97817
3318,0.656600,1,0.051575,0.00150659,0.020796,15.3380,0.06865,0.53657
3335,0.629300,1,0.052927,0.00137451,0.017210,16.4725,0.05442,0.14036
3352,0.605500,1,0.051042,0.00139525,0.008648,17.6530,0.02834,0.82326
3369,0.589400,1,0.051835,0.00132218,0.020109,17.9490,0.06242,0.30401
3386,0.601300,1,0.052632,0.00147964,0.017317,18.6789,0.08657,0.48285
3403,0.587300,1,0.053522,0.00145930,0.012519,20.0688,0.05384,-0.87311
3420,0.583100,1,0.050838,0.00152321,0.008179,17.2890,0.05158,-1.28501
3437,0.611100,1,0.051410,0.00146682,0.020378,18.4779,0.05705,0.32202
3454,0.570500,1,0.051009,0.00139553,0.020552,19.4905,0.06122,0.34167
3471,0.541100,1,0.050886,0.00160065,0.023334,20.1577,0.06625,-0.40229
3488,0.585900,1,0.052235,0.00140073,0.014236,18.1595,0.07837,0.33482
3505,0.620900,1,0.049580,0.00135421,0.009862,14.8641,0.03151,1.60322
3522,0.578900,1,0.051564,0.00145512,0.018068,18.5447,0.07619,-1.09492
3539,0.581000,1,0.051021,0.00138296,0.020297,17.6225,0.05263,1.16290
3556,0.679700,1,0.050150,0.00154931,0.022131,18.1622,0.07130,0.16389
3573,0.631400,1,0.050749,0.00147865,0.019232,17.1808,0.06705,-1.38940
3590,0.573300,1,0.052873,0.00145936,0.018771,18.0965,0.06799,0.09036
3607,0.656600,1,0.052017,0.00161540,0.014105,17.5535,0.07931,0.61161
3624,0.518700,1,0.051113,0.00160398,0.013161,21.0780,0.06104,0.61617
3641,0.596400,1,0.051961,0.00142061,0.016918,19.1876,0.07976,-1.09484
3658,0.599200,1,0.052175,0.00146332,0.020894,20.4662,0.06262,-1.69402
3675,0.618100,1,0.051916,0.00145008,0.018762,17.3408,0.05837,0.25203
3692,0.675500,1,0.053720,0.00138577,0.020961,15.9950,0.04729,-0.69006
3709,0.610400,1,0.053921,0.00132485,0.025732,16.8963,0.05455,1.16151
3726,0.651700,1,0.051921,0.00140223,0.015175,16.1600,0.05246,0.02703
3743,0.616000,1,0.050736,0.00144184,0.022024,18.3597,0.06809,1.74616
3760,0.632800,1,0.053081,0.00150839,0.018474,17.1913,0.06828,-1.34135
3777,0.581000,1,0.052206,0.00152173,0.017265,20.9545,0.03949,0.18795
3794,0.630700,1,0.053160,0.00152309,0.017119,15.7584,0.06973,1.35810
3811,0.531300,1,0.051779,0.00141510,0.029058,19.5654,0.04009,-0.24030
3828,0.543900,1,0.052517,0.00129627,0.015478,19.4213,0.03976,-1.12692
3845,0.620200,1,0.051284,0.00144907,0.019795,17.5867,0.03705,-0.07528
3862,0.596400,1,0.052046,0.00151635,0.022814,16.8599,0.07905,-0.58608
3879,0.547400,1,0.052661,0.00125559,0.022468,19.4367,0.03302,0.07178
3896,0.616000,1,0.051571,0.00125550,0.014786,16.9144,0.06716,-0.51660
3913,0.576800,1,0.051800,0.00163363,0.017970,18.4640,0.07213,-0.03458
3930,0.614600,1,0.052950,0.00145529,0.018436,19.0720,0.06855,0.92860
3947,0.564200,1,0.050028,0.00164642,0.018359,19.3628,0.06544,-0.37996
3964,0.623700,1,0.052199,0.00138339,0.023350,17.0346,0.04632,1.09696
3981,0.635600,1,0.052485,0.00142601,0.013709,16.3684,0.05618,-1.89456
3998,0.614600,1,0.052915,0.00142546,0.020514,18.7106,0.06557,-0.85004
4015,0.583800,1,0.051068,0.00139327,0.020246,18.3866,0.07211,-1.12783
4032,0.549500,1,0.053428,0.00142855,0.013635,20.3676,0.06677,-1.15673
4049,0.640500,1,0.053296,0.00137891,0.009855,17.8252,0.06091,-1.16622
4066,0.639800,1,0.051386,0.00131760,0.021161,14.7955,0.02968,-0.30812
4083,0.601300,1,0.050519,0.00144974,0.020091,16.6885,0.04830,-0.35037
4100,0.539000,1,0.051398,0.00140588,0.013077,20.0887,0.05088,-2.75311
4117,0.665000,1,0.052462,0.00140126,0.023689,17.5877,0.04266,-0.40778
4134,0.651000,1,0.051675,0.00152400,0.022842,16.7962,0.04536,0.57555
4151,0.584500,1,0.051734,0.00137264,0.015675,18.4056,0.06356,-1.13897
4168,0.600600,1,0.053955,0.00158037,0.014183,18.9266,0.07296,0.40030
4185,0.576100,1,0.050555,0.00134373,0.022280,19.1405,0.03265,0.04807
4202,0.569800,1,0.051701,0.00140683,0.014374,19.4311,0.04714,1.55417
4219,0.592900,1,0.052441,0.00145882,0.012506,18.9691,0.05847,1.19711
4236,0.695100,1,0.051250,0.00138023,0.027832,14.6905,0.07037,-0.35379
4253,0.585200,1,0.051263,0.00133759,0.017508,19.9056,0.07408,0.66067
4270,0.609700,1,0.050459,0.00145560,0.018999,18.2519,0.05674,-0.51236
4287,0.585900,1,0.050569,0.00147980,0.015380,19.5462,0.06156,-0.62041
4304,0.620900,1,0.050559,0.00165749,0.014211,17.0220,0.08202,0.91045
4321,0.554400,1,0.051971,0.00153898,0.020070,20.3391,0.06253,0.70506
4338,0.667800,1,0.051456,0.00148308,0.013975,17.4293,0.08591,-0.23942
4355,0.643300,1,0.052247,0.00142417,0.023003,19.0510,0.04742,-0.51533
4372,0.637000,1,0.051595,0.00145873,0.016415,16.1462,0.03613,1.48092
4389,0.651000,1,0.051742,0.00146646,0.013159,16.3312,0.02665,0.10773
4406,0.550200,1,0.051786,0.00140938,0.019324,19.8451,0.04905,-0.46747
4423,0.638400,1,0.054144,0.00154021,0.010582,17.1854,0.06555,-1.10385
4440,0.709800,1,0.051760,0.00133836,0.018773,15.4536,0.09965,0.05228
4457,0.594300,1,0.052397,0.00148365,0.018715,18.9779,0.05750,0.50462
4474,0.611800,1,0.053077,0.00153896,0.019780,19.4593,0.05329,0.19153
4491,0.570500,1,0.051806,0.00156551,0.015847,17.6965,0.03860,-1.28712
4508,0.576800,1,0.051578,0.00157046,0.018096,19.4126,0.05523,-0.70320
4525,0.611800,1,0.052217,0.00145072,0.018638,18.3864,0.06621,-1.73050
4542,0.578200,1,0.052044,0.00131912,0.016049,18.5701,0.05414,0.08737
4559,0.610400,1,0.051761,0.00149564,0.019253,17.4712,0.05912,-1.48231
4576,0.636300,1,0.052902,0.00139983,0.018654,17.0392,0.06375,1.09391
4593,0.616700,1,0.051350,0.00131315,0.022128,18.1940,0.05496,-1.21550
4610,0.615300,1,0.051118,0.00151354,0.022557,18.6028,0.07513,-0.01789
4627,0.641900,1,0.051042,0.00137782,0.024916,16.1246,0.06283,1.32948
4644,0.624400,1,0.051923,0.00152004,0.020367,17.2128,0.07382,1.29924
4661,0.620900,1,0.053018,0.00143157,0.018417,18.0848,0.06596,-0.99269
4678,0.639800,1,0.053231,0.00132094,0.018116,18.2327,0.06389,-0.53997
4695,0.546000,1,0.054196,0.00123261,0.017872,20.1447,0.04256,-0.24196
4712,0.636300,1,0.051725,0.00145031,0.016338,14.5293,0.04368,-1.12171
4729,0.609700,1,0.053963,0.00154231,0.015982,18.7729,0.02439,1.69272
4746,0.569800,1,0.050837,0.00141867,0.025759,18.3219,0.06863,0.68186
4763,0.630000,1,0.053181,0.00152558,0.018748,17.3545,0.05042,-0.77145
4780,0.609700,1,0.053352,0.00134806,0.018134,18.8783,0.04557,-0.92424
4797,0.646800,1,0.052094,0.00145750,0.019424,16.7499,0.07848,-0.83171
4814,0.604100,1,0.054462,0.00144430,0.015128,17.6158,0.04879,0.57570
4831,0.571900,1,0.050981,0.00136331,0.023237,19.6622,0.06760,0.72507
4848,0.663600,1,0.051311,0.00140394,0.012279,16.7063,0.07347,0.05214
4865,0.572600,1,0.053496,0.00149289,0.023236,18.7266,0.05594,-1.07821
4882,0.629300,1,0.051395,0.00148216,0.020967,17.3005,0.07808,-0.38516
4899,0.683200,1,0.050567,0.00150186,0.018708,16.4973,0.04810,0.60196
4916,0.620900,1,0.052020,0.00144621,0.019680,17.1919,0.04167,1.68033
4933,0.641900,1,0.050721,0.00151081,0.022842,16.8649,0.05444,-0.09990
4950,0.623700,1,0.052301,0.00153754,0.012981,17.6308,0.04168,0.91711
4967,0.584500,1,0.051860,0.00154078,0.015971,19.9225,0.04169,1.60782
4984,0.622300,1,0.052330,0.00154483,0.014231,18.1648,0.06399,-0.10028
5001,0.613900,1,0.050677,0.00139771,0.017667,18.5130,0.05172,-1.35219
5018,0.604100,1,0.052485,0.00148904,0.010435,17.6840,0.05781,-0.15292
5035,0.564900,1,0.052135,0.00145838,0.018487,20.3252,0.04512,-0.02560
5052,0.613900,1,0.051572,0.00148017,0.013066,17.2766,0.07203,-0.53612
5069,0.681800,1,0.050878,0.00136957,0.017807,14.6964,0.09091,-0.42660
5086,0.670600,1,0.050442,0.00166162,0.021532,15.8575,0.08554,-0.41778
5103,0.609700,1,0.051083,0.00148765,0.017765,18.2744,0.06308,-0.12088
5120,0.630700,1,0.051360,0.00150992,0.013040,17.3356,0.08662,0.51597
5137,0.545300,1,0.052336,0.00137030,0.018639,20.1641,0.06758,-0.81511
5154,0.599900,1,0.050650,0.00136789,0.020406,18.2893,0.04976,0.28291
5171,0.569800,1,0.053134,0.00134111,0.017469,19.5741,0.05041,-1.45976
5188,0.590100,1,0.051996,0.00148812,0.015345,17.4738,0.04861,-0.52920
5205,0.609700,1,0.051857,0.00144620,0.018968,18.4185,0.07846,-1.53430
5222,0.574000,1,0.051404,0.00147590,0.013880,18.6660,0.07007,-0.03476
5239,0.574700,1,0.052464,0.00137653,0.013142,18.9584,0.06405,-0.51902
5256,0.614600,1,0.051069,0.00138922,0.020642,16.6574,0.04352,-0.83777
5273,0.679000,1,0.052302,0.00151441,0.019594,15.6790,0.07292,0.22313
5290,0.583800,1,0.050898,0.00136502,0.018946,17.2266,0.04149,0.20250
5307,0.594300,1,0.051623,0.00138856,0.020650,17.8604,0.03486,1.20014
5324,0.548800,1,0.050126,0.00149953,0.015835,20.2620,0.04786,0.68507
5341,0.562100,1,0.054293,0.00156253,0.023075,19.2045,0.04084,0.27546
5358,0.636300,1,0.052693,0.00158898,0.019752,16.5421,0.07654,1.71583
5375,0.583800,1,0.052327,0.00143075,0.019516,18.1322,0.08645,0.13958
5392,0.571900,1,0.051248,0.00144298,0.017728,18.4313,0.06198,1.16795
5409,0.539700,1,0.051305,0.00146242,0.013499,18.4478,0.04715,-0.50429
5426,0.573300,1,0.052235,0.00149628,0.019416,19.1435,0.05494,-0.97246
5443,0.702800,1,0.053902,0.00148003,0.015315,14.7973,0.06299,-1.35612
5460,0.604100,1,0.049763,0.00142083,0.015924,16.8367,0.08590,-0.25645
5477,0.613900,1,0.051609,0.00135656,0.011436,18.1106,0.05464,-1.73010
5494,0.653800,1,0.051554,0.00139212,0.015347,16.6522,0.07600,-0.52587
5511,0.654500,1,0.052484,0.00145191,0.009853,17.7746,0.07426,1.24746
5528,0.570500,1,0.050432,0.00137843,0.019045,16.6947,0.06186,-1.04472
5545,0.631400,1,0.053049,0.00140378,0.017978,18.6527,0.05612,0.05303
5562,0.615300,1,0.053745,0.00139701,0.013148,16.4088,0.06336,1.17676
5579,0.628600,1,0.049522,0.00136438,0.013661,18.2763,0.06592,0.27423
5596,0.586600,1,0.051102,0.00150193,0.012488,19.2352,0.06075,-0.00513
5613,0.570500,1,0.051807,0.00146927,0.023169,18.2334,0.08276,-0.49678
5630,0.650300,1,0.051654,0.00159377,0.019991,16.7095,0.08043,-2.07332
5647,0.606900,1,0.052496,0.00137820,0.010167,18.5197,0.07724,-0.48960
5664,0.709100,1,0.053810,0.00150949,0.020493,16.4934,0.07174,1.43970
5681,0.620200,1,0.051256,0.00153347,0.015260,18.1474,0.06006,-0.67028
5698,0.637000,1,0.051294,0.00142115,0.023281,15.9842,0.06507,-0.56182
5715,0.618800,1,0.051069,0.00148821,0.019846,17.3569,0.04795,-0.28160
5732,0.603400,1,0.052510,0.00147264,0.021562,17.9730,0.06039,0.26950
5749,0.617400,1,0.051986,0.00141471,0.017192,16.3645,0.04567,-2.64646
5766,0.649600,1,0.052122,0.00141108,0.016400,18.0456,0.06941,-1.13564
5783,0.638400,1,0.052692,0.00146523,0.017712,16.7601,0.06808,0.52120
5800,0.637000,1,0.052249,0.00150870,0.017276,18.6089,0.05859,0.36330
5817,0.585200,1,0.051159,0.00139605,0.017782,18.6849,0.06703,-0.00377
5834,0.611100,1,0.052729,0.00143255,0.019206,17.9694,0.07610,-0.73847
5851,0.597800,1,0.052633,0.00141338,0.019009,17.9913,0.07572,-0.24155
5868,0.606200,1,0.051456,0.00138264,0.022135,16.6655,0.09118,0.54811
5885,0.593600,1,0.051362,0.00154616,0.024796,18.1807,0.07084,0.65728
5902,0.627900,1,0.051782,0.00148734,0.013131,16.3416,0.06360,-2.32681
5919,0.634900,1,0.051710,0.00149306,0.022576,18.2748,0.07151,-0.04418
5936,0.660800,1,0.052291,0.00146810,0.020406,18.3240,0.08386,-0.11453
5953,0.576100,1,0.050340,0.00144579,0.013801,17.1882,0.04632,0.37396
5970,0.571900,1,0.050496,0.00141278,0.020786,18.7576,0.05565,-0.63778
5987,0.700700,1,0.050121,0.00150858,0.024608,15.9539,0.08284,0.57217
6004,0.629300,1,0.051183,0.00144812,0.019212,16.9078,0.06270,-0.21961
6021,0.620200,1,0.052588,0.00135520,0.017468,18.2045,0.06242,0.59730
6038,0.627900,1,0.052008,0.00148735,0.022296,17.7784,0.08628,-0.81513
6055,0.599200,1,0.052727,0.00129696,0.019357,20.4870,0.07841,-0.49962
6072,0.596400,1,0.052403,0.00156218,0.016387,18.6432,0.07421,-0.82526
6089,0.621600,1,0.051905,0.00139924,0.022248,15.9194,0.08591,1.40364
6106,0.601300,1,0.052023,0.00138803,0.018870,15.8041,0.06171,-0.19642
6123,0.616000,1,0.053837,0.00150005,0.020131,17.8914,0.04898,-1.35164
6140,0.599900,1,0.052307,0.00125563,0.030154,17.7831,0.05830,-1.96434
6157,0.594300,1,0.050290,0.00153875,0.021758,19.1585,0.06907,-0.45289
6174,0.625100,1,0.051395,0.00131103,0.019196,18.1802,0.05010,-0.31561
6191,0.641900,1,0.051277,0.00144196,0.020348,20.6870,0.05417,-0.12066
6208,0.618800,1,0.051844,0.00142581,0.016385,15.6305,0.04033,-0.09555
6225,0.632100,1,0.052677,0.00144602,0.014933,18.1902,0.05140,0.87270
6242,0.604100,1,0.052913,0.00146356,0.017309,17.6129,0.06784,-0.28886
6259,0.672700,1,0.052967,0.00150513,0.019894,16.8453,0.04053,0.00993
6276,0.556500,1,0.051168,0.00134985,0.024702,19.6273,0.06023,1.32243
6293,0.647500,1,0.053499,0.00146982,0.019498,17.1168,0.07051,0.22699
6310,0.630700,1,0.052001,0.00137514,0.018613,16.6438,0.06747,1.11030
6327,0.592200,1,0.052401,0.00133228,0.018415,19.7484,0.08528,0.40772
6344,0.600600,1,0.052486,0.00169900,0.014307,18.4490,0.05662,-0.08387
6361,0.639800,1,0.052390,0.00141349,0.018412,17.4820,0.07325,1.22178
6378,0.642600,1,0.051229,0.00148441,0.017146,15.1017,0.04665,0.06112
6395,0.594300,1,0.053061,0.00134344,0.010515,17.1218,0.04958,0.86523
6412,0.540400,1,0.051603,0.00133048,0.022078,19.1427,0.06676,-0.71637
6429,0.627200,1,0.054153,0.00158000,0.015781,18.8189,0.05922,0.96679
6446,0.633500,1,0.051142,0.00152423,0.014785,16.9398,0.05648,-1.34714
6463,0.592200,1,0.049967,0.00155743,0.016694,19.4768,0.05581,-0.89945
6480,0.603400,1,0.053791,0.00159119,0.017033,19.0177,0.06542,1.75243
6497,0.589400,1,0.051553,0.00147357,0.014352,19.3581,0.05637,0.14255
6514,0.585200,1,0.052203,0.00145199,0.016898,17.5722,0.04353,-0.04576
6531,0.620900,1,0.051944,0.00156217,0.018944,20.2033,0.08215,-0.52574
6548,0.569800,1,0.053829,0.00140496,0.019071,19.4103,0.05675,-1.32062
6565,0.609000,1,0.051640,0.00135727,0.018607,19.7405,0.05335,0.86200
6582,0.532000,1,0.051656,0.00138699,0.017364,19.2879,0.05477,1.23074
6599,0.622300,1,0.052799,0.00146878,0.018202,16.9757,0.07413,0.79916
6616,0.612500,1,0.050622,0.00146774,0.015169,16.8073,0.06216,-0.35788
6633,0.594300,1,0.053404,0.00139263,0.016188,16.7527,0.06635,0.30502
6650,0.626500,1,0.052165,0.00143465,0.017550,17.5893,0.09526,-0.79275
6667,0.561400,1,0.052240,0.00144177,0.018282,17.0453,0.02217,0.41897
6684,0.581000,1,0.052844,0.00148827,0.020317,20.6907,0.05556,1.23436
6701,0.619500,1,0.052882,0.00150634,0.019827,17.4898,0.05808,-0.35395
6718,0.572600,1,0.051697,0.00146216,0.014483,17.4225,0.05810,1.32047
6735,0.569100,1,0.051170,0.00156598,0.010309,18.7433,0.07376,-0.23932
6752,0.616700,1,0.051026,0.00155512,0.019719,18.0200,0.05901,0.41860
6769,0.616700,1,0.052851,0.00144417,0.011437,18.4397,0.06549,0.05102
6786,0.568400,1,0.050802,0.00143062,0.012823,19.5418,0.08569,-1.58017
6803,0.595000,1,0.052023,0.00139184,0.021422,16.4118,0.05363,0.22341
6820,0.592200,1,0.050910,0.00141818,0.017582,18.9981,0.08157,-0.90336
6837,0.674100,1,0.051822,0.00148730,0.020135,17.2706,0.04520,0.11802
6854,0.573300,1,0.050976,0.00150675,0.019874,18.1534,0.04548,-0.49034
6871,0.604100,1,0.051357,0.00138751,0.012798,17.9841,0.06529,-0.34836
6888,0.603400,1,0.050299,0.00145205,0.018937,18.4138,0.07856,0.37477
6905,0.546700,1,0.052221,0.00139015,0.023597,21.4691,0.05936,-0.32103
6922,0.592200,1,0.053695,0.00134664,0.017809,19.5796,0.07894,-0.79642
6939,0.605500,1,0.053180,0.00146024,0.017677,18.9337,0.03541,-0.52250
6956,0.588700,1,0.053078,0.00151553,0.020391,18.0813,0.05195,2.24129
6973,0.687400,1,0.053980,0.00134088,0.018290,16.4469,0.03513,-0.36806
6990,0.681800,1,0.052548,0.00149058,0.017143,17.1417,0.05611,0.30688
7007,0.622300,1,0.051218,0.00139769,0.013043,18.6638,0.02956,0.88314
7024,0.638400,1,0.052574,0.00137998,0.017714,17.1738,0.07304,-0.64406
7041,0.624400,1,0.052042,0.00141734,0.024111,15.8516,0.03585,-0.94897
7058,0.605500,1,0.052485,0.00147569,0.024163,18.2254,0.05971,1.16080
7075,0.634200,1,0.051277,0.00158941,0.016059,16.9818,0.04159,-0.27007
7092,0.623000,1,0.051185,0.00155366,0.022004,16.5312,0.02845,-0.01959
7109,0.550200,1,0.053378,0.00147494,0.017089,20.6735,0.03871,0.12390
7126,0.629300,1,0.051705,0.00159922,0.015284,18.6417,0.08742,1.09238
7143,0.568400,1,0.051687,0.00134931,0.014297,21.0138,0.03192,-0.14399
7160,0.578900,1,0.052101,0.00144871,0.012508,17.8966,0.01312,-1.43968
7177,0.518700,1,0.052268,0.00140365,0.021678,19.7671,0.03806,-0.63527
7194,0.594300,1,0.051342,0.00140474,0.009516,16.6543,0.04076,0.58473
7211,0.534800,1,0.050475,0.00143859,0.022635,20.8239,0.06073,-1.26509
7228,0.580300,1,0.051297,0.00141916,0.015579,16.6480,0.03058,0.48165
7245,0.608300,1,0.052525,0.00142484,0.018223,18.6363,0.05092,-0.23100
7262,0.615300,1,0.052363,0.00132879,0.012506,18.0940,0.05950,1.00123
7279,0.611800,1,0.053561,0.00131713,0.015717,17.2061,0.05282,-0.60588
7296,0.560700,1,0.053305,0.00156722,0.020466,21.1225,0.06667,1.17938
7313,0.620900,1,0.053985,0.00146357,0.018099,16.7573,0.05522,-0.32501
7330,0.575400,1,0.051324,0.00153746,0.025746,20.0238,0.05937,-0.03714
7347,0.555800,1,0.051485,0.00156864,0.016464,20.9090,0.07178,-0.18905
7364,0.581700,1,0.050899,0.00131440,0.012134,17.7923,0.04822,-0.69704
7381,0.569800,1,0.053284,0.00153481,0.018736,20.3029,0.06813,0.82266
7398,0.583100,1,0.051471,0.00148388,0.007349,19.9316,0.04639,1.34409
7415,0.586600,1,0.051595,0.00140944,0.020207,17.5965,0.05927,0.02509
7432,0.667100,1,0.052993,0.00157287,0.020905,17.0177,0.04754,-0.31536
7449,0.594300,1,0.050916,0.00142389,0.018334,18.4656,0.06965,0.45617
7466,0.612500,1,0.051056,0.00127401,0.017840,16.5814,0.04381,-0.33560
7483,0.609000,1,0.051330,0.00148861,0.014554,16.6323,0.06343,0.71621
7500,0.592200,1,0.052556,0.00158092,0.021271,18.6890,0.07621,0.14157
7517,0.660800,1,0.050296,0.00153933,0.015091,16.7415,0.08277,-2.84542
7534,0.600600,1,0.050457,0.00145929,0.014768,18.9554,0.09090,-1.74490
7551,0.576800,1,0.052594,0.00138740,0.015912,18.5217,0.04163,0.40101
7568,0.522200,1,0.049532,0.00138540,0.028081,20.1464,0.05853,0.24974
7585,0.613900,1,0.052639,0.00137985,0.021816,15.5214,0.06419,0.30118
7602,0.656600,1,0.050648,0.00130295,0.016617,14.6762,0.06243,1.33206
7619,0.599200,1,0.052002,0.00145526,0.016422,18.5096,0.06547,-0.04083
7636,0.676200,1,0.052357,0.00159074,0.008586,17.5573,0.07580,-0.96165
7653,0.630000,1,0.051268,0.00151016,0.014382,16.1290,0.05219,0.99559
7670,0.620200,1,0.052180,0.00133111,0.023268,18.6518,0.07115,0.04857
