generation,best_drag,best_stability,best_manufacturability
0,0.21359687219996443,0.13521233586457007,0.10409746817334237
1,0.21307271012422502,0.13521233586457007,0.10409746817334237
2,0.21307271012422502,0.13521055003740098,0.10409746817334237
3,0.2107768657387216,0.1312481848334311,0.10409746817334237
4,0.21021815243198835,0.1309244062633339,0.1018135274870699
5,0.20954963565009355,0.12642570289949837,0.1018135274870699
6,0.20954963565009355,0.12436101686085943,0.1018135274870699
7,0.20914882077313726,0.12436101686085943,0.1018135274870699
8,0.20914882077313726,0.12436101686085943,0.10094205904270231
9,0.20847758334887972,0.12290289590349589,0.10082971029522657
10,0.2083209416521008,0.12220812674373605,0.10082971029522657
11,0.2083209416521008,0.12220812674373605,0.10082971029522657
12,0.2083209416521008,0.12220812674373605,0.10050224561298862
13,0.2083209416521008,0.12220812674373605,0.10049487315139952
14,0.2083209416521008,0.12147731832232517,0.10049487315139952
15,0.2083209416521008,0.1213852012739325,0.10025354333789148
16,0.2083209416521008,0.1213852012739325,0.10005071579438352
17,0.20823494186283753,0.1213852012739325,0.10005071579438352
18,0.20809144484380024,0.1213578435706814,0.10005071579438352
19,0.20809144484380024,0.12135768392574825,0.10005071579438352
20,0.20809144484380024,0.12135768392574825,0.10005071579438352
21,0.20809144484380024,0.12135768392574825,0.10005071579438352
22,0.20809144484380024,0.12105075406660379,0.10005071579438352
23,0.20809144484380024,0.12105075406660379,0.10005071579438352
24,0.20809144484380024,0.12105075406660379,0.10005071579438352
25,0.20809144484380024,0.12097280542331676,0.10004663129815766
26,0.20808258829512563,0.1206990234133314,0.10003907525545822
27,0.20808258829512563,0.1206990234133314,0.10003907525545822
28,0.20808258829512563,0.1206990234133314,0.10003907525545822
29,0.20806719306240176,0.1206990234133314,0.10003907525545822
30,0.20806719306240176,0.12066654806468038,0.10003907525545822
31,0.20806719306240176,0.12057208295335373,0.10003907525545822
32,0.20806719306240176,0.12057208295335373,0.10003907525545822
33,0.20806719306240176,0.12057208295335373,0.10001120630011505
34,0.2080461484769573,0.12057208295335373,0.10001120630011505
35,0.2080461484769573,0.12057208295335373,0.10001120630011505
36,0.2080461484769573,0.12057208295335373,0.10001120630011505
37,0.20802352468453808,0.12057208295335373,0.10001120630011505
38,0.20802352468453808,0.12057208295335373,0.10001120630011505
39,0.20802352468453808,0.12057208295335373,0.10001120630011505
40,0.20802352468453808,0.1202214207550049,0.10001120630011505
41,0.20802352468453808,0.1202214207550049,0.10001120630011505
42,0.20802352468453808,0.1202214207550049,0.10001120630011505
43,0.20802352468453808,0.1202214207550049,0.10001120630011505
44,0.20802352468453808,0.1202214207550049,0.10001120630011505
45,0.20802352468453808,0.1202214207550049,0.10001120630011505
46,0.20802352468453808,0.1202214207550049,0.10001120630011505
47,0.20802352468453808,0.1202214207550049,0.10001120630011505
48,0.20802352468453808,0.1202214207550049,0.10001120630011505
49,0.20802352468453808,0.12007486518105594,0.10001120630011505
50,0.20802352468453808,0.12007486518105594,0.10001120630011505
51,0.20802352468453808,0.12007486518105594,0.10001120630011505
52,0.20802352468453808,0.12003530560183406,0.10001120630011505
53,0.20802352468453808,0.12003530560183406,0.10001120630011505
54,0.20802352468453808,0.12003530560183406,0.10001120630011505
55,0.20802352468453808,0.12003530560183406,0.10001120630011505
56,0.20802352468453808,0.12003530560183406,0.10001120630011505
57,0.20802352468453808,0.12003530560183406,0.10001120630011505
58,0.20802352468453808,0.12003530560183406,0.10001120630011505
59,0.20802352468453808,0.12003530560183406,0.10001120630011505
60,0.20802352468453808,0.12003530560183406,0.10001120630011505
61,0.20802352468453808,0.12003530560183406,0.10001120630011505
62,0.20802352468453808,0.12003530560183406,0.10001120630011505
63,0.20802352468453808,0.12003530560183406,0.10001120630011505
64,0.20802352468453808,0.12003530560183406,0.10000704333218412
65,0.20802352468453808,0.12003530560183406,0.10000704333218412
66,0.20802352468453808,0.12003530560183406,0.10000704333218412
67,0.20802352468453808,0.12003530560183406,0.10000704333218412
68,0.20802352468453808,0.12003530560183406,0.10000667756867551
69,0.20802352468453808,0.12003530560183406,0.10000667756867551
