nose_radius_ratio,sidepod_taper,wing_attack_deg,wheel_shroud_ratio,splitline_robustness,drag_obj,stability_obj,manufacturing_obj
0.096143,0.807421,-0.658333,0.999227,0.999077,0.213135,0.143060,0.111347
0.099332,0.895034,-0.753052,0.999855,0.999957,0.210818,0.138099,0.116507
0.097533,0.725930,-1.370100,0.999798,0.999981,0.215242,0.153580,0.106358
0.099880,0.637598,0.553158,0.999938,0.999947,0.218402,0.138710,0.101062
0.099689,0.908382,-0.309905,0.999568,0.999915,0.210560,0.132837,0.117312
0.096339,0.978327,-1.443210,0.999522,0.999558,0.208675,0.142264,0.121548
0.093560,0.993652,0.438592,0.999870,0.999964,0.208548,0.123993,0.122423
0.092942,0.938678,0.300123,0.993632,0.999500,0.210078,0.128545,0.119176
0.096266,0.777562,-1.072689,0.999520,0.999900,0.213875,0.148632,0.109465
0.096203,0.671505,-1.353255,0.999061,0.999895,0.216664,0.156780,0.103102
0.099734,0.780498,-1.045283,0.998863,0.999017,0.213847,0.146577,0.109738
0.099359,0.793163,-0.945494,0.999917,0.999879,0.213495,0.145103,0.110403
0.094151,0.999404,-0.718095,0.999061,0.993702,0.208036,0.135008,0.123457
0.098102,0.768796,-0.913207,0.997196,0.999993,0.214169,0.146650,0.108929
0.098546,0.830919,0.221858,0.999862,0.999895,0.212866,0.131929,0.112667
0.090601,0.658613,-1.036715,0.999227,0.999942,0.217042,0.156916,0.102323
0.096149,0.756402,-1.227866,0.999938,0.999924,0.214425,0.151289,0.108192
0.096303,0.672392,0.548475,0.999356,0.999985,0.217415,0.138634,0.103145
0.100065,0.622091,0.430447,0.999798,0.999996,0.218725,0.139626,0.100126
0.099848,0.620170,-0.698238,0.975607,0.999985,0.218507,0.151534,0.100012
0.097719,0.921379,0.037956,0.999809,0.999986,0.210310,0.129639,0.118084
0.101199,0.998295,0.378841,0.999982,1.000000,0.208449,0.121867,0.122698
0.099010,0.824655,-1.099192,0.999945,0.999891,0.212657,0.145231,0.112291
0.091128,0.735797,0.501585,0.999549,0.999908,0.215663,0.137449,0.106958
0.095980,0.866890,0.387576,0.999511,0.999452,0.211977,0.129699,0.114874
0.100177,0.860929,-0.960210,0.999990,0.999587,0.211720,0.141640,0.114501
0.095976,0.932740,-0.975207,0.999063,0.999878,0.209798,0.140045,0.118778
0.101587,0.809291,0.477400,0.999866,0.999954,0.213682,0.130518,0.111363
0.099966,0.771631,-0.969086,0.999600,0.999993,0.214076,0.146134,0.109099
0.097617,0.978327,-0.213137,0.999798,0.999555,0.208681,0.129351,0.121549
0.099017,0.624322,-1.626403,0.999798,0.999852,0.217932,0.160519,0.100276
0.099246,0.714377,-1.356457,0.999886,0.999900,0.215562,0.153206,0.105674
0.094917,0.697961,-1.105993,0.998906,0.999057,0.215973,0.153598,0.104781
