time_s,pdf,cdf,reliability
0.0,0.0,0.0,1.0
2.0181670357142854,2.087612028229906e-06,1.289108547908313e-06,0.9999987108914521
4.036334071428571,1.0056844325284474e-05,1.2420350107511524e-05,0.9999875796498925
6.0545011071428565,2.522719885834756e-05,4.6734742235043925e-05,0.999953265257765
8.072668142857141,4.844309935297095e-05,0.00011966229183357768,0.9998803377081664
10.090835178571428,8.035150690765061e-05,0.0002481174641176809,0.9997518825358823
12.109002214285713,0.00012148160988468977,0.00045019326195550047,0.9995498067380445
14.127169249999998,0.0001722803399455804,0.0007449635346572503,0.9992550364653427
16.145336285714283,0.00023313094380952894,0.0011523375709026062,0.9988476624290974
18.16350332142857,0.00030436341356925733,0.0016929430733804152,0.9983070569266196
20.181670357142856,0.0003862604304787818,0.0023880252503380994,0.9976119747496619
22.19983739285714,0.00047906059223850944,0.003259354951066551,0.9967406450489334
24.218004428571426,0.0005829598794637626,0.004329141418231153,0.9956708585817688
26.23617146428571,0.0006981119226964835,0.005619946716273638,0.9943800532837264
28.254338499999996,0.0008246274237671582,0.007154599797582262,0.9928454002024177
30.27250553571428,0.0009625729689897139,0.00895610875405406,0.9910438912459459
32.290672571428566,0.0011119694033004182,0.011047570206113244,0.9889524297938868
34.30883960714286,0.0012727898928143085,0.013452075077170833,0.9865479249228292
36.32700664285714,0.0014449577772690833,0.01619261023052765,0.9838073897694724
38.34517367857142,0.001628344297322734,0.01929195563260977,0.9807080443673902
40.36334071428571,0.0018227662711118749,0.022772576866457617,0.9772274231335424
42.38150775,0.0020279837877106915,0.026656512962223378,0.9733434870377766
44.39967478571428,0.002243697980798826,0.030965259643245036,0.969034740356755
46.41784182142857,0.0024695489430603484,0.035719648211018695,0.9642803517889813
48.43600885714285,0.0027051138399878686,0.04093972041254912,0.9590602795874509
50.45417589285714,0.0029499052804240608,0.04664459975057056,0.9533554002494294
52.47234292857142,0.0032033700000186596,0.05285235981165237,0.9471476401883476
54.49050996428571,0.0034648879125674455,0.0595798902993947,0.9404201097006053
56.50867699999999,0.003733771582737103,0.0668427615694247,0.9331572384305753
58.526844035714284,0.004009266171808347,0.07465508856907954,0.9253449114309205
60.54501107142856,0.004290549905659335,0.08302939518653085,0.9169706048134691
62.56317810714285,0.0045767351111544955,0.09197648011047854,0.9080235198895215
64.58134514285713,0.004866869863312299,0.10150528539100989,0.8984947146089901
66.59951217857142,0.005159940281030126,0.11162276897324641,0.8883772310267536
68.61767921428572,0.005454873503693668,0.12233378254628324,0.8776662174537168
70.63584624999999,0.005750541374660703,0.133640956108929,0.866359043891071
72.65401328571429,0.006045764850372342,0.14554459069905334,0.8544554093009467
74.67218032142856,0.006339319145718021,0.1580425607631395,0.8419574392368605
76.69034735714284,0.006629939617295609,0.17113022765516628,0.8288697723448337
78.70851439285714,0.006916328376419833,0.18480036574750014,0.8151996342524999
80.72668142857142,0.0071971616132209025,0.19904310260954983,0.8009568973904502
82.74484846428571,0.007471097602045638,0.21384587466114002,0.78615412533886
84.7630155,0.0077367853467555075,0.22919339963579244,0.7708066003642076
86.78118253571428,0.007992873812565682,0.2450676670935199,0.7549323329064801
88.79934957142856,0.008238021678964843,0.2614479481028563,0.7385520518971437
90.81751660714285,0.008470907536199326,0.2783108250675408,0.7216891749324592
92.83568364285713,0.008690240436018208,0.29563024250487535,0.7043697574951246
